EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,,
5576023,WESTERN ALBANY (ZONE), ,12/06/1996,400,Winter Storm, , ,0,0,10000,0,NY,EST, ,2055529,Z,51,ALY,0,0, , , , , , , , , ,12/06/1996,1500, , , , ,,"A low pressure system off the coast of New Jersey rapidly intensified during the morning hours of December 6.  Heavy wet snow fell over the higher terrain of the Catskills and Taconics.  The wet snow downed trees and power lines which resulted in power outages for several thousand customers.  Some specific snowfall totals included: 16 inches at East Jewitt in Greene County, 8 inches at Averill Park in Rensselaer County and 8 inches at Westerlo in Albany County.",1,,,
5588939,WESTERN ALBANY (ZONE), ,01/27/1997,1900,Winter Storm, , ,0,0,0,0,NY,EST, ,2058360,Z,51,ALY,0,0, , , , , , , , , ,01/28/1997,1200, , , , ,,"On January 27 and 28, a winter storm tracked from northern Indiana northeast to the Saint Lawrence Valley.  Heavy snow fell across much of eastern New York.  The precipitation changed to sleet and freezing rain during the morning of January 28, then briefly to light rain south of the Adirondacks before ending.  Some specific snowfall totals included: 7 inches at Albany, 11 inches at Gloversville in Fulton County, 9 inches at Piseco in Hamilton County, 8 inches at Tribes Hill in Montgomery County, 9 inches at Ballston Spa in Saratoga County, 7 inches at Phoenecia in Ulster County and 10 inches at Warrensburg in Warren County.",2,,,
5588940,EASTERN ALBANY (ZONE), ,01/27/1997,1900,Winter Storm, , ,0,0,0,0,NY,EST, ,2058360,Z,52,ALY,0,0, , , , , , , , , ,01/28/1997,1200, , , , ,,"On January 27 and 28, a winter storm tracked from northern Indiana northeast to the Saint Lawrence Valley.  Heavy snow fell across much of eastern New York.  The precipitation changed to sleet and freezing rain during the morning of January 28, then briefly to light rain south of the Adirondacks before ending.  Some specific snowfall totals included: 7 inches at Albany, 11 inches at Gloversville in Fulton County, 9 inches at Piseco in Hamilton County, 8 inches at Tribes Hill in Montgomery County, 9 inches at Ballston Spa in Saratoga County, 7 inches at Phoenecia in Ulster County and 10 inches at Warrensburg in Warren County.",3,,,
5592685,WESTERN ALBANY (ZONE), ,03/31/1997,800,Winter Storm, , ,0,0,250000,0,NY,EST, ,2061483,Z,51,ALY,0,0, , , , , , , , , ,03/31/1997,2359, , , , ,,"On March 31 and April 1, a classic late season nor'easter tracked from the Chesapeake Bay area northeast to central coastal New Jersey then slowly out to sea.  This system produced rain across much of eastern New York during the morning hours of March 31.  The rain changed to heavy wet snow by early afternoon.  Heavy snow fell over eastern New York from the Mohawk Valley southward.  Snowfall amounts were highly elevation dependent.  Snowfall exceeded 2 feet in many mountain locations.  Some specific snowfall totals included: 15 inches at the Albany Airport, 26 inches at Berne in Albany County, 9 inches at Rotterdam in Schenectady County, 11 inches at Poestenkill in Rensselaer County, 10 inches at Saratoga Springs in Saratoga County, 28 inches at Gilboa in Schoharie County, 11 inches at Copake in Columbia County, 37 inches at East Jewett in Greene County, 20 inches at Stormville in Dutchess County and 23 inches at Slide Mountain in Ulster County.  At Phonecia in the Hudson Valley in Ulster County, only one inch of snow fell!  The wet snow brought down many trees and power lines causing widespread power outages and many road closures.  Power outages were most widespread in Greene, Dutchess and Ulster Counties.  Many areas remained without power for several days.  A State of Emergency was declared in Greene, Schoharie and Dutchess Counties.  In Greene County 30,000 customers lost power.  In northern Dutchess County, 12 transmission lines, 50 utility poles and 12 substations were affected by the storm.  Approximately 30,000 customers lost power in the northern part of the county.  Many roads across Dutchess County were blocked by fallen trees.  In the Capital District, 50,000 customers lost power.",4,,,
5592686,EASTERN ALBANY (ZONE), ,03/31/1997,800,Winter Storm, , ,0,0,250000,0,NY,EST, ,2061483,Z,52,ALY,0,0, , , , , , , , , ,03/31/1997,2359, , , , ,,"On March 31 and April 1, a classic late season nor'easter tracked from the Chesapeake Bay area northeast to central coastal New Jersey then slowly out to sea.  This system produced rain across much of eastern New York during the morning hours of March 31.  The rain changed to heavy wet snow by early afternoon.  Heavy snow fell over eastern New York from the Mohawk Valley southward.  Snowfall amounts were highly elevation dependent.  Snowfall exceeded 2 feet in many mountain locations.  Some specific snowfall totals included: 15 inches at the Albany Airport, 26 inches at Berne in Albany County, 9 inches at Rotterdam in Schenectady County, 11 inches at Poestenkill in Rensselaer County, 10 inches at Saratoga Springs in Saratoga County, 28 inches at Gilboa in Schoharie County, 11 inches at Copake in Columbia County, 37 inches at East Jewett in Greene County, 20 inches at Stormville in Dutchess County and 23 inches at Slide Mountain in Ulster County.  At Phonecia in the Hudson Valley in Ulster County, only one inch of snow fell!  The wet snow brought down many trees and power lines causing widespread power outages and many road closures.  Power outages were most widespread in Greene, Dutchess and Ulster Counties.  Many areas remained without power for several days.  A State of Emergency was declared in Greene, Schoharie and Dutchess Counties.  In Greene County 30,000 customers lost power.  In northern Dutchess County, 12 transmission lines, 50 utility poles and 12 substations were affected by the storm.  Approximately 30,000 customers lost power in the northern part of the county.  Many roads across Dutchess County were blocked by fallen trees.  In the Capital District, 50,000 customers lost power.",5,,,
5605797,WESTERN ALBANY (ZONE), ,04/01/1997,0,Winter Storm, , ,0,0,0,0,NY,EST, ,2065802,Z,51,ALY,0,0, , , , , , , , , ,04/01/1997,600, , , , ,,"On March 31 and April 1, a classic late season nor'easter tracked from the Chesapeake Bay area northeast to central coastal New Jersey then slowly out to sea.  This system produced rain across much of eastern New York during the morning hours of March 31.  The rain changed to heavy wet snow by early afternoon.  Heavy snow fell over eastern New York from the Mohawk Valley southward.  Snowfall amounts were highly elevation dependent.  Snowfall exceeded 2 feet in many mountain locations.  Some specific snowfall totals included: 15 inches at the Albany Airport, 26 inches at Berne in Albany County, 9 inches at Rotterdam in Schenectady County, 11 inches at Poestenkill in Rensselaer County, 10 inches at Saratoga Springs in Saratoga County, 28 inches at Gilboa in Schoharie County, 11 inches at Copake in Columbia County, 37 inches at East Jewett in Greene County, 20 inches at Stormville in Dutchess County and 23 inches at Slide Mountain in Ulster County.  At Phonecia in the Hudson Valley in Ulster County, only one inch of snow fell!  The wet snow brought down many trees and power lines causing widespread power outages and many road closures.  Power outages were most widespread in Greene, Dutchess and Ulster Counties.  Many areas remained without power for several days.  A State of Emergency was declared in Greene, Schoharie and Dutchess Counties.  In Greene County 30,000 customers lost power.  In northern Dutchess County, 12 transmission lines, 50 utility poles and 12 substations were affected by the storm.  Approximately 30,000 customers lost power in the northern part of the county.  Many roads across Dutchess County were blocked by fallen trees.  In the Capital District, 50,000 customers lost power.  See the March 1997 Storm Data report for damage amounts.",6,,,
5605786,EASTERN ALBANY (ZONE), ,04/01/1997,0,Winter Storm, , ,0,0,0,0,NY,EST, ,2065802,Z,52,ALY,0,0, , , , , , , , , ,04/01/1997,600, , , , ,"On March 31 and April 1, a classic late season nor'easter tracked from the Chesapeake Bay area northeast to central coastal New Jersey then slowly out to sea.  This system produced rain across much of eastern New York during the morning hours of March 31.  The rain changed to heavy wet snow by early afternoon.  Heavy snow fell over eastern New York from the Mohawk Valley southward.  Snowfall amounts were highly elevation dependent.  Snowfall exceeded 2 feet in many mountain locations.  Some specific snowfall totals included: 15 inches at the Albany Airport, 26 inches at Berne in Albany County, 9 inches at Rotterdam in Schenectady County, 11 inches at Poestenkill in Rensselaer County, 10 inches at Saratoga Springs in Saratoga County, 28 inches at Gilboa in Schoharie County, 11 inches at Copake in Columbia County, 37 inches at East Jewett in Greene County, 20 inches at Stormville in Dutchess County and 23 inches at Slide Mountain in Ulster County.  At Phonecia in the Hudson Valley in Ulster County, only one inch of snow fell!  The wet snow brought down many trees and power lines causing widespread power outages and many road closures.  Power outages were most widespread in Greene, Dutchess and Ulster Counties.  Many areas remained without power for several days.  A State of Emergency was declared in Greene, Schoharie and Dutchess Counties.  In Greene County 30,000 customers lost power.  In northern Dutchess County, 12 transmission lines, 50 utility poles and 12 substations were affected by the storm.  Approximately 30,000 customers lost power in the northern part of the county.  Many roads across Dutchess County were blocked by fallen trees.  In the Capital District, 50,000 customers lost power.  See the March 1997 Storm Data report for damage amounts.","On March 31 and April 1, a classic late season nor'easter tracked from the Chesapeake Bay area northeast to central coastal New Jersey then slowly out to sea.  This system produced rain across much of eastern New York during the morning hours of March 31.  The rain changed to heavy wet snow by early afternoon.  Heavy snow fell over eastern New York from the Mohawk Valley southward.  Snowfall amounts were highly elevation dependent.  Snowfall exceeded 2 feet in many mountain locations.  Some specific snowfall totals included: 15 inches at the Albany Airport, 26 inches at Berne in Albany County, 9 inches at Rotterdam in Schenectady County, 11 inches at Poestenkill in Rensselaer County, 10 inches at Saratoga Springs in Saratoga County, 28 inches at Gilboa in Schoharie County, 11 inches at Copake in Columbia County, 37 inches at East Jewett in Greene County, 20 inches at Stormville in Dutchess County and 23 inches at Slide Mountain in Ulster County.  At Phonecia in the Hudson Valley in Ulster County, only one inch of snow fell!  The wet snow brought down many trees and power lines causing widespread power outages and many road closures.  Power outages were most widespread in Greene, Dutchess and Ulster Counties.  Many areas remained without power for several days.  A State of Emergency was declared in Greene, Schoharie and Dutchess Counties.  In Greene County 30,000 customers lost power.  In northern Dutchess County, 12 transmission lines, 50 utility poles and 12 substations were affected by the storm.  Approximately 30,000 customers lost power in the northern part of the county.  Many roads across Dutchess County were blocked by fallen trees.  In the Capital District, 50,000 customers lost power.  See the March 1997 Storm Data report for damage amounts.",7,,,
5621116,WESTERN ALBANY (ZONE), ,11/14/1997,100,Winter Storm, , ,0,0,0,0,NY,EST, ,2070842,Z,51,ALY,0,0, , , , , , , , , ,11/14/1997,2300, , , , ,,"On November 13 and 14, a winter storm tracked from the southeast coast north to the coast of southern New England and then out to sea.  Heavy snow fell across much of eastern New York with the greatest accumulations observed over the Mohawk Valley, Capital District and southern Adirondacks.  In the southern Catskills, mid Hudson Valley and southern Taconics, heavy accumulations of sleet and freezing rain occurred after several inches of snow.  In this region the freezing rain produced scattered power outages.  In the Village of New Paltz in Ulster County, approximately 2,000 customers lost power including the State University College at New Paltz.  Some specific snowfall totals included: 8 inches at Albany, 14 inches at Salisbury in Herkimer County, 11 inches at Saratoga Springs in Saratoga County, 8 inches at Cobleskill in Schoharie County,  11 inches at Caroga Lake in Fulton County and 9 inches at Grannville in Washington County.",8,,,
5621099,EASTERN ALBANY (ZONE), ,11/14/1997,100,Winter Storm, , ,0,0,0,0,NY,EST, ,2070842,Z,52,ALY,0,0, , , , , , , , , ,11/14/1997,2300, , , , ,,"On November 13 and 14, a winter storm tracked from the southeast coast north to the coast of southern New England and then out to sea.  Heavy snow fell across much of eastern New York with the greatest accumulations observed over the Mohawk Valley, Capital District and southern Adirondacks.  In the southern Catskills, mid Hudson Valley and southern Taconics, heavy accumulations of sleet and freezing rain occurred after several inches of snow.  In this region the freezing rain produced scattered power outages.  In the Village of New Paltz in Ulster County, approximately 2,000 customers lost power including the State University College at New Paltz.  Some specific snowfall totals included: 8 inches at Albany, 14 inches at Salisbury in Herkimer County, 11 inches at Saratoga Springs in Saratoga County, 8 inches at Cobleskill in Schoharie County,  11 inches at Caroga Lake in Fulton County and 9 inches at Grannville in Washington County.",9,,,
5620288,WESTERN ALBANY (ZONE), ,12/10/1997,1200,Winter Storm, , ,0,0,0,0,NY,EST, ,2071091,Z,51,ALY,0,0, , , , , , , , , ,12/11/1997,800, , , , ,,"During the afternoon of December 10, moderate to heavy snow spread across eastern New York from the  southern Catskills and mid Hudson Valley northward to just south of the Capital District  The snow moved in quickly from the south and fell at a heavy rate shortly after onset.  The timing and rate of snowfall caused many traffic problems during the evening commute.  At Marlboro in southern Ulster County, two tractor-trailers got stuck across U. S. Route 9W.  This caused traffic to back up for more than four miles and forced the road to close for approximately four hours.  In Dutchess County, a tractor-trailer got stuck going up a hill and blocked U. S. Route 9 north of Hyde Park for four hours during the evening.  The snowfall exhibited a very tight south north cutoff.  For example, in Albany County the Albany County Airport received one inch of snow while Alcove in the extreme southern portion of the county received 8 inches.  Some other specific snowfall totals included: 7 inches at Berne in Albany County, 8 inches at Ghent in Columbia County, 7 inches at Poughkeepsie in Dutchess County, 8 inches at Cairo in Greene County and 9 inches at Kerhonkson in Ulster County.",10,,,
