EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5545634,NORTHERN ONEIDA (ZONE), ,01/02/1996,2100,Heavy Snow, , ,0,0,5000,0,NY,EST, ,2031625,Z,9,BGM,0,0, , , , , , , , , ,01/03/1996,2000, , , , ,"","A major winter storm formed over the Gulf Coast and tracked up the Eastern Seaboard, bringing heavy snow to central New York. Snowfall amounts of 8 to 12 inches were widely observed, but as much as 16 inches fell across the Finger Lakes, in a band from Baldwinsville to Auburn and Dryden. In Chenango County, near zero visibility in heavy snow resulted in a 15-car pileup along Interstate 88. No injuries were reported.",1
5545641,SOUTHERN ONEIDA (ZONE), ,01/02/1996,2100,Heavy Snow, , ,0,0,5000,0,NY,EST, ,2031625,Z,37,BGM,0,0, , , , , , , , , ,01/03/1996,2000, , , , ,"","A major winter storm formed over the Gulf Coast and tracked up the Eastern Seaboard, bringing heavy snow to central New York. Snowfall amounts of 8 to 12 inches were widely observed, but as much as 16 inches fell across the Finger Lakes, in a band from Baldwinsville to Auburn and Dryden. In Chenango County, near zero visibility in heavy snow resulted in a 15-car pileup along Interstate 88. No injuries were reported.",2
5545848,NORTHERN ONEIDA (ZONE), ,02/24/1996,1200,Heavy Snow, , ,0,0,0,0,NY,EST, ,2031636,Z,9,BGM,0,0, , , , , , , , , ,02/25/1996,900, , , , ,"","The same rapidly deepening low pressure system which brought high winds to central New York also gave northern Oneida County heavy lake-enhanced snowfall, as well-aligned west winds transported moisture inland from Lake Ontario. A spotter in Forestport measured 14 inches of snow, and spotters in Boonville and Point Rock measured snowfalls of 10 inches and 6 inches, respectively.",3
5545849,NORTHERN ONEIDA (ZONE), ,03/03/1996,1400,Heavy Snow, , ,0,0,0,0,NY,EST, ,2031637,Z,9,BGM,0,0, , , , , , , , , ,03/04/1996,1400, , , , ,"","Arctic air poured into central New York on gusty west winds producing lake effect snow squalls across the eastern Finger Lakes and western Mohawk Valley, and scattered snow showers elsewhere. Nezr zero visibility in snow squalls forced the closure of many roads throughout central and southern Oneida County, including part of the New York State Thruway from Verona to Utica. About 4,000 customers in northern Onondaga County were left without power due to the gusty winds. A young woman was killed and one person injured in Tompkins County when the car they were riding in crashed on Route 79 in the town of Ithaca during whiteout conditions in a snow squall. The highest snowfall totals were found across Oneida County, where 8 inches of snow fell in Rome and Forestport, 9 inches in Point Rock, and 10 inches in Ava.",4
5545853,SOUTHERN ONEIDA (ZONE), ,03/03/1996,1400,Heavy Snow, , ,0,0,5000,0,NY,EST, ,2031637,Z,37,BGM,0,0, , , , , , , , , ,03/04/1996,1400, , , , ,"","Arctic air poured into central New York on gusty west winds producing lake effect snow squalls across the eastern Finger Lakes and western Mohawk Valley, and scattered snow showers elsewhere. Nezr zero visibility in snow squalls forced the closure of many roads throughout central and southern Oneida County, including part of the New York State Thruway from Verona to Utica. About 4,000 customers in northern Onondaga County were left without power due to the gusty winds. A young woman was killed and one person injured in Tompkins County when the car they were riding in crashed on Route 79 in the town of Ithaca during whiteout conditions in a snow squall. The highest snowfall totals were found across Oneida County, where 8 inches of snow fell in Rome and Forestport, 9 inches in Point Rock, and 10 inches in Ava.",5
5545864,SOUTHERN ONEIDA (ZONE), ,03/06/1996,2200,Heavy Snow, , ,0,2,0,0,NY,EST, ,2031638,Z,37,BGM,0,0, , , , , , , , , ,03/07/1996,1300, , , , ,"","A winter storm formed over the Carolinas and tracked up the coast, bringing heavy snow to central New York. Snowfall accumulations ranged from 6 to 12 inches by the time the snow tapered off on the evening of the 7th. During the height of the storm, many accidents were reported due to poor visibility, including one in which an elderly couple was killed and one person injured in a collision in Lansing (Tompkins County). In Onondaga County, one man was killed and one injured in a two-car accident in Marcellus. Two people were injured near Rome in Oneida County when their car drove off the road, and six people were injured in Homer, Cortland County, when a tour bus drove off Interstate 81 in near zero visibility.",6
5545854,NORTHERN ONEIDA (ZONE), ,03/06/1996,2200,Heavy Snow, , ,0,0,0,0,NY,EST, ,2031638,Z,9,BGM,0,0, , , , , , , , , ,03/07/1996,1300, , , , ,"","A winter storm formed over the Carolinas and tracked up the coast, bringing heavy snow to central New York. Snowfall accumulations ranged from 6 to 12 inches by the time the snow tapered off on the evening of the 7th. During the height of the storm, many accidents were reported due to poor visibility, including one in which an elderly couple was killed and one person injured in a collision in Lansing (Tompkins County). In Onondaga County, one man was killed and one injured in a two-car accident in Marcellus. Two people were injured near Rome in Oneida County when their car drove off the road, and six people were injured in Homer, Cortland County, when a tour bus drove off Interstate 81 in near zero visibility.",7
5576562,NORTHERN ONEIDA (ZONE), ,11/11/1996,300,Heavy Snow, , ,0,0,0,0,NY,EST, ,2054811,Z,9,BGM,0,0, , , , , , , , , ,11/11/1996,1300, , , , ,"","The first significant lake effect snow event of the season had its greatest impact on Oneida and Madison counties.  A single band off Lake Ontario dumped 6 to 10 inches of snow on northern sections of Oneida county during the morning and early afternoon of the 11th.  The band then began to drop southward into central Oneida county and dumped anywhere from 8 to 11 inches of snow from about Verona eastward through the Rome and Utica areas.  Eventually, the heavy snow band made it into northern Madison county late on the 11th and early on the 12th.  Cazenovia and Madison received 6 to 8 inches of snow during this time frame, while Oneida township got nearly 14 inches.  The northern suburbs of Syracuse in extreme northern Onondaga county also got locally substantial accumulations.  Cicero picked up about 7 inches.",8
5576563,SOUTHERN ONEIDA (ZONE), ,11/11/1996,1300,Heavy Snow, , ,0,0,0,0,NY,EST, ,2054811,Z,37,BGM,0,0, , , , , , , , , ,11/11/1996,2300, , , , ,"","The first significant lake effect snow event of the season had its greatest impact on Oneida and Madison counties.  A single band off Lake Ontario dumped 6 to 10 inches of snow on northern sections of Oneida county during the morning and early afternoon of the 11th.  The band then began to drop southward into central Oneida county and dumped anywhere from 8 to 11 inches of snow from about Verona eastward through the Rome and Utica areas.  Eventually, the heavy snow band made it into northern Madison county late on the 11th and early on the 12th.  Cazenovia and Madison received 6 to 8 inches of snow during this time frame, while Oneida township got nearly 14 inches.  The northern suburbs of Syracuse in extreme northern Onondaga county also got locally substantial accumulations.  Cicero picked up about 7 inches.",9
5578456,NORTHERN ONEIDA (ZONE), ,12/05/1996,2200,Heavy Snow, , ,0,0,0,0,NY,EST, ,2055877,Z,9,BGM,0,0, , , , , , , , , ,12/06/1996,1400, , , , ,"","An intensifying storm system formed off the Virginia coast late at night on the 5th and eventually moved to a position east of Cape Cod by the afternoon of the 6th.  This storm produced a band of heavy wet snow from the higher elevations of the Catskills and Otsego county northward into portions of Oneida county.  
     Snowfall amounts of 7 to 12 inches occurred in the above mentioned areas.  The higher elevations of Delaware county saw the greatest accumulations, with Stamford picking up a foot of new snow and Meredith getting 10 inches.  
     The heavy wet nature of the snow downed trees and power lines throughout these regions.",10
