#  Oneida County, New York Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199501,26.9
199502,16.8
199503,34.8
199504,38.8
199505,53.9
199506,66.6
199507,70.3
199508,68.7
199509,56.4
199510,51.8
199511,31.8
199512,19.8
199601,17.7
199602,20.3
199603,26.9
199604,40.3
199605,52.2
199606,65.4
199607,66.2
199608,67.4
199609,60.4
199610,47.8
199611,31.8
199612,31.4
199701,18.6
199702,25.8
199703,28.8
199704,40.8
199705,49.5
199706,65.0
199707,66.2
199708,65.3
199709,57.5
199710,46.5
199711,34.0
199712,26.9
199801,26.6
199802,28.9
199803,34.4
199804,46.4
199805,61.1
199806,63.8
199807,67.4
199808,68.0
199809,60.9
199810,49.4
199811,38.2
199812,32.5
199901,19.5
199902,26.2
199903,28.8
199904,43.9
199905,58.3
199906,67.0
199907,71.0
199908,65.8
199909,62.5
199910,46.1
199911,42.2
199912,28.0
200001,17.0
200002,25.3
200003,37.6
200004,42.0
200005,57.0
200006,63.5
200007,64.6
200008,65.7
200009,58.2
200010,48.9
200011,35.9
200012,19.0
200101,22.0
200102,23.5
200103,26.9
200104,43.6
200105,57.4
200106,64.3
200107,65.7
200108,70.1
200109,59.5
200110,50.0
200111,43.1
200112,33.1
200201,28.6
200202,27.8
200203,31.8
200204,45.1
200205,50.5
200206,64.4
200207,69.6
200208,69.1
200209,63.1
200210,45.9
200211,35.7
200212,23.7
200301,13.4
200302,17.7
200303,30.5
200304,40.7
200305,54.2
200306,62.2
200307,67.9
200308,68.7
200309,60.6
200310,46.0
200311,39.6
200312,25.7
200401,10.4
200402,20.4
200403,33.8
200404,43.3
200405,58.2
200406,61.4
200407,67.3
200408,65.5
200409,62.3
200410,48.2
200411,37.8
200412,25.1
200501,17.1
200502,23.2
200503,27.2
200504,46.0
200505,51.5
200506,69.7
200507,71.6
200508,70.4
200509,62.8
200510,49.7
200511,40.1
200512,22.7
200601,29.5
200602,23.6
200603,30.3
200604,45.3
200605,55.8
200606,64.4
200607,70.7
200608,66.4
200609,58.1
200610,46.1
200611,42.3
200612,33.6
200701,23.5
200702,14.7
200703,28.1
200704,40.5
200705,56.1
200706,65.8
200707,66.4
200708,67.6
200709,62.2
200710,55.0
200711,35.5
200712,24.7
200801,25.3
200802,22.5
200803,28.1
200804,48.9
200805,51.0
200806,66.7
200807,68.5
200808,64.6
200809,60.7
200810,46.1
200811,36.2
200812,25.7
200901,14.2
200902,23.2
200903,32.1
200904,45.3
200905,54.4
200906,62.1
200907,65.4
200908,67.8
200909,58.7
200910,46.1
200911,41.8
200912,23.7
201001,20.2
201002,23.4
201003,38.3
201004,48.7
201005,58.8
201006,64.6
201007,71.2
201008,67.8
201009,60.6
201010,48.1
201011,37.4
201012,22.5
201101,18.0
201102,19.8
201103,29.6
201104,44.5
201105,58.5
201106,64.7
201107,70.8
201108,67.2
201109,62.4
201110,49.4
201111,43.0
201112,30.6
201201,25.3
201202,28.3
201203,42.6
201204,42.5
201205,60.5
201206,64.1
201207,71.4
201208,68.5
201209,59.7
201210,50.6
201211,35.8
201212,30.6
201301,22.7
201302,21.6
201303,29.9
201304,42.1
201305,57.1
201306,63.5
201307,71.4
201308,65.6
201309,58.0
201310,50.6
201311,33.8
201312,24.1
201401,15.5
201402,18.2
201403,22.0
201404,42.9
201405,57.1
201406,64.6
201407,67.5
201408,65.3
201409,59.9
201410,51.6
201411,34.9
201412,29.4
201501,14.6
201502,7.9
201503,23.5
201504,42.0
201505,61.2
201506,62.7
201507,67.7
201508,67.4
201509,65.4
201510,46.9
201511,42.8
201512,38.4
201601,22.2
201602,25.6
201603,36.6
201604,40.5
201605,55.8
201606,63.4
201607,70.1
201608,70.5
201609,62.7
201610,49.8
201611,39.5
201612,26.4
201701,26.7
201702,28.9
201703,26.1
201704,48.0
201705,53.1
201706,63.1
201707,68.0
201708,65.5
201709,62.6
201710,54.7
201711,35.0
201712,21.4
201801,17.2
201802,27.8
201803,28.9
201804,36.3
201805,59.6
201806,62.9
201807,71.6
201808,70.2
201809,63.5
201810,46.9
201811,32.4
201812,26.8
201901,17.7
201902,23.0
201903,28.2
201904,43.7
201905,53.5
201906,62.5
201907,70.8
201908,66.2
201909,60.3
201910,49.6
201911,32.1
201912,26.2
202001,26.5
202002,25.0
202003,35.5
202004,40.2
202005,53.8
202006,64.8
202007,73.0
202008,68.6
202009,59.8
202010,48.2
202011,41.0
202012,28.9
202101,22.2
202102,20.8
202103,33.4
202104,45.0
202105,54.4
202106,66.9
202107,67.2
202108,69.9
202109,61.3
202110,54.8
202111,36.4
202112,31.6
202201,13.5
202202,22.2
202203,32.2
202204,43.0
202205,58.7
202206,62.8
202207,69.1
202208,69.3
202209,60.4
202210,48.8
202211,40.4
202212,27.8
202301,28.8
202302,26.2
202303,30.9
202304,47.6
202305,54.1
202306,63.6
202307,70.5
202308,65.3
202309,61.6
202310,53.1
202311,35.1
202312,34.6
202401,25.8
202402,29.5
202403,36.6
202404,45.2
202405,60.2
202406,66.1
202407,70.7
202408,66.6
202409,62.9
202410,50.6
202411,41.2
