EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5562358,NORTHWEST SUFFOLK (ZONE), ,02/03/1996,0,Heavy Snow, , ,0,0,0,0,NY,EST, ,2040606,Z,78,OKX,0,0, , , , , , , , , ,02/03/1996,800, , , , ,"","A low pressure system moved north along the Atlantic Coast and produced heavy snow across the area.  The snow became very heavy after midnight.  Accumulations ranged from 7 to 10 inches.",1
5562361,SOUTHEAST SUFFOLK (ZONE), ,02/03/1996,0,Heavy Snow, , ,0,0,0,0,NY,EST, ,2040606,Z,81,OKX,0,0, , , , , , , , , ,02/03/1996,800, , , , ,"","A low pressure system moved north along the Atlantic Coast and produced heavy snow across the area.  The snow became very heavy after midnight.  Accumulations ranged from 7 to 10 inches.",2
5562360,SOUTHWEST SUFFOLK (ZONE), ,02/03/1996,0,Heavy Snow, , ,0,0,0,0,NY,EST, ,2040606,Z,80,OKX,0,0, , , , , , , , , ,02/03/1996,800, , , , ,"","A low pressure system moved north along the Atlantic Coast and produced heavy snow across the area.  The snow became very heavy after midnight.  Accumulations ranged from 7 to 10 inches.",3
5562359,NORTHEAST SUFFOLK (ZONE), ,02/03/1996,0,Heavy Snow, , ,0,0,0,0,NY,EST, ,2040606,Z,79,OKX,0,0, , , , , , , , , ,02/03/1996,800, , , , ,"","A low pressure system moved north along the Atlantic Coast and produced heavy snow across the area.  The snow became very heavy after midnight.  Accumulations ranged from 7 to 10 inches.",4
5562387,NORTHEAST SUFFOLK (ZONE), ,02/16/1996,1800,Heavy Snow, , ,0,0,0,0,NY,EST, ,2040609,Z,79,OKX,0,0, , , , , , , , , ,02/17/1996,600, , , , ,"","A low pressure system moved north along the Atlantic Coast and produced heavy snow across the region.  The snow became very heavy during the evening and overnight periods.  Accumulations ranged from 6 to 12 inches.",5
5562386,NORTHWEST SUFFOLK (ZONE), ,02/16/1996,1800,Heavy Snow, , ,0,0,0,0,NY,EST, ,2040609,Z,78,OKX,0,0, , , , , , , , , ,02/17/1996,600, , , , ,"","A low pressure system moved north along the Atlantic Coast and produced heavy snow across the region.  The snow became very heavy during the evening and overnight periods.  Accumulations ranged from 6 to 12 inches.",6
5562388,SOUTHWEST SUFFOLK (ZONE), ,02/16/1996,1800,Heavy Snow, , ,0,0,0,0,NY,EST, ,2040609,Z,80,OKX,0,0, , , , , , , , , ,02/17/1996,600, , , , ,"","A low pressure system moved north along the Atlantic Coast and produced heavy snow across the region.  The snow became very heavy during the evening and overnight periods.  Accumulations ranged from 6 to 12 inches.",7
5560161,SOUTHEAST SUFFOLK (ZONE), ,03/02/1996,700,Heavy Snow, , ,0,0,0,0,NY,EST, ,2040913,Z,81,OKX,0,0, , , , , , , , , ,03/02/1996,1800, , , , ,"","A low pressure system developed off the North Carolina Coast and moved northeast.  It passed east of Long Island during the afternoon and east of Cape Cod during the evening.  Snowfall accumulations were fairly uniform from 6 to 7 inches.",8
5561216,NORTHWEST SUFFOLK (ZONE), ,03/02/1996,700,Heavy Snow, , ,0,0,0,0,NY,EST, ,2040913,Z,78,OKX,0,0, , , , , , , , , ,03/02/1996,1800, , , , ,"","A low pressure system developed off the North Carolina Coast and moved northeast.  It passed east of Long Island during the afternoon and east of Cape Cod during the evening.  Snowfall accumulations were fairly uniform from 6 to 7 inches.",9
5561217,NORTHEAST SUFFOLK (ZONE), ,03/02/1996,700,Heavy Snow, , ,0,0,0,0,NY,EST, ,2040913,Z,79,OKX,0,0, , , , , , , , , ,03/02/1996,1800, , , , ,"","A low pressure system developed off the North Carolina Coast and moved northeast.  It passed east of Long Island during the afternoon and east of Cape Cod during the evening.  Snowfall accumulations were fairly uniform from 6 to 7 inches.",10
