EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,,
5127554,NORTHWEST SUFFOLK (ZONE), ,01/25/2000,2100,Winter Storm, , ,0,0,0,0,NY,EST, ,2414730,Z,78,OKX,0,0,TRAINED SPOTTER, , , , , , , , ,01/25/2000,2100, , , , ,,"A strong low pressure system (Nor'easter) moved north to northeast, passing just east of Montauk Point before Midnight on January 25th.

Snow developed between 4 and 5 am along the immediate coast and spread rapidly north during the morning rush hour.  Snowfall rates up to 2 inches per hour occurred during the peak of the morning rush hour.  White-out conditions caused massive traffic interruptions.  Snowfall during the morning commute ranged from less than 2 inches at Montauk Point to around 6 inches across parts of Manhattan and Brooklyn.  As warm air in the lower levels wrapped around this storm, snow changed to freezing rain and sleet.  From mid-morning through late afternoon, light freezing rain fell along the coast with a mixture of freezing rain and sleet inland, except for just snow across Western Orange County.  As the low approached Long Island, bands of moderate to heavy precipitation rotated northwest around the low.  Around 1/4-inch thick ice coated trees, which caused limbs to snap off from Eastern Nassau County east across all of Suffolk County.  Bands of heavy snow fell across the Lower Hudson Valley, New York City, and Western Nassau County during the evening.

Here are selected snowfall amounts from this storm for:

Manhattan:  from 5.5 inches at Central Park to 6 inches at Columbia University.

Bronx:  around 6 inches county-wide.

Staten Island:  around 6 inches at Richmond.

Brooklyn:  from 5.6 inches at Graves End to 6 inches at Bayridge.

Queens:  from 6 inches at LaGuardia Airport to 6.4 inches at JFK Airport.

Orange County:  from 8 inches at Gardinerville to 12 inches at both Port Jervis and Chester.

Putnam County:  from 7 inches at Croton Falls to 8 inches at both Carmel and Brewster.

Rockland County:  6 inches was measured at Pomona.

Westchester County:  from 5.5 inches at Yorktown Heights to 8 inches at White Plains.

Nassau County:  from 5.3 inches at Valley Stream to 6.8 inches at Merrick.

Suffolk County:  from 3 inches at Islip Airport and Rocky Point to 7 inches at Huntington and Centerport (plus 1/4-inch thick ice).

This low was preceded by strong northeast winds that gusted from 40 to 45 mph.  In addition, minor tidal flooding occurred across Broad Channel in Queens and in Long Beach and Freeport in Nassau Counties around the times of high tides from 11 am to noon.",1,,,
5127555,SOUTHEAST SUFFOLK (ZONE), ,01/25/2000,2100,Winter Storm, , ,0,0,0,0,NY,EST, ,2414730,Z,81,OKX,0,0,TRAINED SPOTTER, , , , , , , , ,01/25/2000,2100, , , , ,,"A strong low pressure system (Nor'easter) moved north to northeast, passing just east of Montauk Point before Midnight on January 25th.

Snow developed between 4 and 5 am along the immediate coast and spread rapidly north during the morning rush hour.  Snowfall rates up to 2 inches per hour occurred during the peak of the morning rush hour.  White-out conditions caused massive traffic interruptions.  Snowfall during the morning commute ranged from less than 2 inches at Montauk Point to around 6 inches across parts of Manhattan and Brooklyn.  As warm air in the lower levels wrapped around this storm, snow changed to freezing rain and sleet.  From mid-morning through late afternoon, light freezing rain fell along the coast with a mixture of freezing rain and sleet inland, except for just snow across Western Orange County.  As the low approached Long Island, bands of moderate to heavy precipitation rotated northwest around the low.  Around 1/4-inch thick ice coated trees, which caused limbs to snap off from Eastern Nassau County east across all of Suffolk County.  Bands of heavy snow fell across the Lower Hudson Valley, New York City, and Western Nassau County during the evening.

Here are selected snowfall amounts from this storm for:

Manhattan:  from 5.5 inches at Central Park to 6 inches at Columbia University.

Bronx:  around 6 inches county-wide.

Staten Island:  around 6 inches at Richmond.

Brooklyn:  from 5.6 inches at Graves End to 6 inches at Bayridge.

Queens:  from 6 inches at LaGuardia Airport to 6.4 inches at JFK Airport.

Orange County:  from 8 inches at Gardinerville to 12 inches at both Port Jervis and Chester.

Putnam County:  from 7 inches at Croton Falls to 8 inches at both Carmel and Brewster.

Rockland County:  6 inches was measured at Pomona.

Westchester County:  from 5.5 inches at Yorktown Heights to 8 inches at White Plains.

Nassau County:  from 5.3 inches at Valley Stream to 6.8 inches at Merrick.

Suffolk County:  from 3 inches at Islip Airport and Rocky Point to 7 inches at Huntington and Centerport (plus 1/4-inch thick ice).

This low was preceded by strong northeast winds that gusted from 40 to 45 mph.  In addition, minor tidal flooding occurred across Broad Channel in Queens and in Long Beach and Freeport in Nassau Counties around the times of high tides from 11 am to noon.",2,,,
5127556,NORTHEAST SUFFOLK (ZONE), ,01/25/2000,2115,Winter Storm, , ,0,0,0,0,NY,EST, ,2414730,Z,79,OKX,0,0,TRAINED SPOTTER, , , , , , , , ,01/25/2000,2115, , , , ,,"A strong low pressure system (Nor'easter) moved north to northeast, passing just east of Montauk Point before Midnight on January 25th.

Snow developed between 4 and 5 am along the immediate coast and spread rapidly north during the morning rush hour.  Snowfall rates up to 2 inches per hour occurred during the peak of the morning rush hour.  White-out conditions caused massive traffic interruptions.  Snowfall during the morning commute ranged from less than 2 inches at Montauk Point to around 6 inches across parts of Manhattan and Brooklyn.  As warm air in the lower levels wrapped around this storm, snow changed to freezing rain and sleet.  From mid-morning through late afternoon, light freezing rain fell along the coast with a mixture of freezing rain and sleet inland, except for just snow across Western Orange County.  As the low approached Long Island, bands of moderate to heavy precipitation rotated northwest around the low.  Around 1/4-inch thick ice coated trees, which caused limbs to snap off from Eastern Nassau County east across all of Suffolk County.  Bands of heavy snow fell across the Lower Hudson Valley, New York City, and Western Nassau County during the evening.

Here are selected snowfall amounts from this storm for:

Manhattan:  from 5.5 inches at Central Park to 6 inches at Columbia University.

Bronx:  around 6 inches county-wide.

Staten Island:  around 6 inches at Richmond.

Brooklyn:  from 5.6 inches at Graves End to 6 inches at Bayridge.

Queens:  from 6 inches at LaGuardia Airport to 6.4 inches at JFK Airport.

Orange County:  from 8 inches at Gardinerville to 12 inches at both Port Jervis and Chester.

Putnam County:  from 7 inches at Croton Falls to 8 inches at both Carmel and Brewster.

Rockland County:  6 inches was measured at Pomona.

Westchester County:  from 5.5 inches at Yorktown Heights to 8 inches at White Plains.

Nassau County:  from 5.3 inches at Valley Stream to 6.8 inches at Merrick.

Suffolk County:  from 3 inches at Islip Airport and Rocky Point to 7 inches at Huntington and Centerport (plus 1/4-inch thick ice).

This low was preceded by strong northeast winds that gusted from 40 to 45 mph.  In addition, minor tidal flooding occurred across Broad Channel in Queens and in Long Beach and Freeport in Nassau Counties around the times of high tides from 11 am to noon.",3,,,
5127557,SOUTHWEST SUFFOLK (ZONE), ,01/25/2000,2115,Winter Storm, , ,0,0,0,0,NY,EST, ,2414730,Z,80,OKX,0,0,TRAINED SPOTTER, , , , , , , , ,01/25/2000,2115, , , , ,,"A strong low pressure system (Nor'easter) moved north to northeast, passing just east of Montauk Point before Midnight on January 25th.

Snow developed between 4 and 5 am along the immediate coast and spread rapidly north during the morning rush hour.  Snowfall rates up to 2 inches per hour occurred during the peak of the morning rush hour.  White-out conditions caused massive traffic interruptions.  Snowfall during the morning commute ranged from less than 2 inches at Montauk Point to around 6 inches across parts of Manhattan and Brooklyn.  As warm air in the lower levels wrapped around this storm, snow changed to freezing rain and sleet.  From mid-morning through late afternoon, light freezing rain fell along the coast with a mixture of freezing rain and sleet inland, except for just snow across Western Orange County.  As the low approached Long Island, bands of moderate to heavy precipitation rotated northwest around the low.  Around 1/4-inch thick ice coated trees, which caused limbs to snap off from Eastern Nassau County east across all of Suffolk County.  Bands of heavy snow fell across the Lower Hudson Valley, New York City, and Western Nassau County during the evening.

Here are selected snowfall amounts from this storm for:

Manhattan:  from 5.5 inches at Central Park to 6 inches at Columbia University.

Bronx:  around 6 inches county-wide.

Staten Island:  around 6 inches at Richmond.

Brooklyn:  from 5.6 inches at Graves End to 6 inches at Bayridge.

Queens:  from 6 inches at LaGuardia Airport to 6.4 inches at JFK Airport.

Orange County:  from 8 inches at Gardinerville to 12 inches at both Port Jervis and Chester.

Putnam County:  from 7 inches at Croton Falls to 8 inches at both Carmel and Brewster.

Rockland County:  6 inches was measured at Pomona.

Westchester County:  from 5.5 inches at Yorktown Heights to 8 inches at White Plains.

Nassau County:  from 5.3 inches at Valley Stream to 6.8 inches at Merrick.

Suffolk County:  from 3 inches at Islip Airport and Rocky Point to 7 inches at Huntington and Centerport (plus 1/4-inch thick ice).

This low was preceded by strong northeast winds that gusted from 40 to 45 mph.  In addition, minor tidal flooding occurred across Broad Channel in Queens and in Long Beach and Freeport in Nassau Counties around the times of high tides from 11 am to noon.",4,,,
5127159,NORTHWEST SUFFOLK (ZONE), ,02/19/2000,500,Winter Storm, , ,1,0,0,0,NY,EST, ,1090091,Z,78,OKX,0,0,TRAINED SPOTTER, , , , , , , , ,02/19/2000,500, , , , ,,"With cold air in place, as a warm front approached from the south and a weak low pressure system moved northeast along the coast, light snow developed from around 6:40 am at Westchester County Airport to 10:45 am at Westhampton Beach (in Suffolk County).  Snowfall became heavy, falling at the rate of at least 1 inch per hour from around 10 am across the entire area until around 4 pm across Orange and Putnam Counties. Snow changed to freezing rain from around 2:30 pm along the south shore of Long Island to around 7 pm across Orange County.

Snowfall amounts ranged from 1 to 2 inches along the south shores of Long Island, 3 to 4 inches across the north shores of Long Island and New York City to 6 inches across the Lower Hudson Valley.  This first round of heavy precipitation was followed by up to a 1/8th-inch thick ice coating, which caused serious and widespread traffic disruptions.

Here are selected snowfall amounts:

For Orange County:  from 5.5 inches at Middletown, Walden, and Greenwood Lake to 6.5 inches at Montgomery.

For Putnam County:  from 3 inches at Lake Carmel to 6 inches at Croton Falls.

For Westchester County:  from 2 inches at Yonkers to 6 inches at White Plains.

For New York (Manhattan) County:  from 3 inches at Central Park to 3.8 inches at Columbia University.

For Queens County:  from 2 inches at JFK Airport to 3 inches at LGA Airport.

A second low pressure system moved east from Pennsylvania, and passed just"" south of Long Island overnight.  This low produced freezing rain across the region.  At both JFK Airport and LGA Airport",0.25 and 0.26 inches of freezing rain was measured as temperatures hovered from 30 to 31 degrees.  At Central Park,0.23 inches of freezing rain was measured.  Significant icing of roads occurred," which forced the closure of many metro roads overnight.  Numerous traffic accidents occurred on ice-covered roads.  A woman died when her car spun out of control on ice-covered streets in Centereach (Suffolk County) early Saturday morning.""",5
5127160,NORTHEAST SUFFOLK (ZONE), ,02/19/2000,500,Winter Storm, , ,0,0,0,0,NY,EST, ,1090091,Z,79,OKX,0,0,OFFICIAL NWS OBS., , , , , , , , ,02/19/2000,500, , , , ,,"With cold air in place, as a warm front approached from the south and a weak low pressure system moved northeast along the coast, light snow developed from around 6:40 am at Westchester County Airport to 10:45 am at Westhampton Beach (in Suffolk County).  Snowfall became heavy, falling at the rate of at least 1 inch per hour from around 10 am across the entire area until around 4 pm across Orange and Putnam Counties. Snow changed to freezing rain from around 2:30 pm along the south shore of Long Island to around 7 pm across Orange County.

Snowfall amounts ranged from 1 to 2 inches along the south shores of Long Island, 3 to 4 inches across the north shores of Long Island and New York City to 6 inches across the Lower Hudson Valley.  This first round of heavy precipitation was followed by up to a 1/8th-inch thick ice coating, which caused serious and widespread traffic disruptions.

Here are selected snowfall amounts:

For Orange County:  from 5.5 inches at Middletown, Walden, and Greenwood Lake to 6.5 inches at Montgomery.

For Putnam County:  from 3 inches at Lake Carmel to 6 inches at Croton Falls.

For Westchester County:  from 2 inches at Yonkers to 6 inches at White Plains.

For New York (Manhattan) County:  from 3 inches at Central Park to 3.8 inches at Columbia University.

For Queens County:  from 2 inches at JFK Airport to 3 inches at LGA Airport.

A second low pressure system moved east from Pennsylvania, and passed just"" south of Long Island overnight.  This low produced freezing rain across the region.  At both JFK Airport and LGA Airport",0.25 and 0.26 inches of freezing rain was measured as temperatures hovered from 30 to 31 degrees.  At Central Park,0.23 inches of freezing rain was measured.  Significant icing of roads occurred," which forced the closure of many metro roads overnight.  Numerous traffic accidents occurred on ice-covered roads.  A woman died when her car spun out of control on ice-covered streets in Centereach (Suffolk County) early Saturday morning.""",6
5167880,SOUTHWEST SUFFOLK (ZONE), ,12/30/2000,850,Winter Storm, , ,0,0,0,0,NY,EST, ,1105306,Z,80,OKX,0,0,TRAINED SPOTTER, , , , , , , , ,12/30/2000,850, , , , ,,"A low pressure system rapidly intensified and moved north along the mid Atlantic coast during Saturday December 30th. This produced a wide swath of heavy snow to the northwest of the storm track. Snowfall began between 5 and 7 AM across the area, and fell at intense rates right from the start. Snowfall rates of one to two inches per hour were common. There were also numerous reports of thunder and lightning accompanying the most intense snow bands. Winds also began to increase later Saturday morning, causing some blowing and drifting of snow, which reduced visibilities significantly, and created near blizzard conditions at times in some areas. 

As the low pressure center approached the south shore of Suffolk county early Saturday afternoon, milder air from the Atlantic Ocean wrapped into the storm system, and changed the heavy snow to a mixture of sleet and rain across eastern Suffolk county. This limited snowfall amounts somewhat across eastern Suffolk County.

The low pressure center crossed central Suffolk County during mid afternoon on Saturday, before moving northeast into southern New England later that evening. As the low moved away, the precipitation tapered off across the area. Subfreezing temperatures and gusty winds lingered behind the storm system.

Here are some specific snowfall totals from this storm system:

Orange County: 14 inches at Harriman, to 21 inches at Warwick and Rock Tavern.

Putnam County: 13 inches at Carmel and Brewster.

Rockland County: 15 inches at Airmont, to 18 inches at Suffern.

Westchester County: 13 inches at Mount Kisco, to 16.5 inches at Mamaroneck.

Bronx County: 11 inches.

New York County (Manhattan): 12 inches at Central Park.

Kings County: 12.7 inches at Gravesend.

Queens County: 10 inches at John F. Kennedy International Airport, to 13 inches at LaGuardia Airport and Middle Village.

Richmond County: 12.5 inches at Grymes Hill.

Nassau County: 11 inches at Lynbrook, to 15.6 inches at Oceanside.

Suffolk County: 2.7 inches at Bridgehampton, to 12 inches at Huntington Station, East Northport, and North Lindenhurst.",7,,,
5167881,SOUTHEAST SUFFOLK (ZONE), ,12/30/2000,955,Winter Storm, , ,0,0,0,0,NY,EST, ,1105306,Z,81,OKX,0,0,TRAINED SPOTTER, , , , , , , , ,12/30/2000,955, , , , ,,"A low pressure system rapidly intensified and moved north along the mid Atlantic coast during Saturday December 30th. This produced a wide swath of heavy snow to the northwest of the storm track. Snowfall began between 5 and 7 AM across the area, and fell at intense rates right from the start. Snowfall rates of one to two inches per hour were common. There were also numerous reports of thunder and lightning accompanying the most intense snow bands. Winds also began to increase later Saturday morning, causing some blowing and drifting of snow, which reduced visibilities significantly, and created near blizzard conditions at times in some areas. 

As the low pressure center approached the south shore of Suffolk county early Saturday afternoon, milder air from the Atlantic Ocean wrapped into the storm system, and changed the heavy snow to a mixture of sleet and rain across eastern Suffolk county. This limited snowfall amounts somewhat across eastern Suffolk County.

The low pressure center crossed central Suffolk County during mid afternoon on Saturday, before moving northeast into southern New England later that evening. As the low moved away, the precipitation tapered off across the area. Subfreezing temperatures and gusty winds lingered behind the storm system.

Here are some specific snowfall totals from this storm system:

Orange County: 14 inches at Harriman, to 21 inches at Warwick and Rock Tavern.

Putnam County: 13 inches at Carmel and Brewster.

Rockland County: 15 inches at Airmont, to 18 inches at Suffern.

Westchester County: 13 inches at Mount Kisco, to 16.5 inches at Mamaroneck.

Bronx County: 11 inches.

New York County (Manhattan): 12 inches at Central Park.

Kings County: 12.7 inches at Gravesend.

Queens County: 10 inches at John F. Kennedy International Airport, to 13 inches at LaGuardia Airport and Middle Village.

Richmond County: 12.5 inches at Grymes Hill.

Nassau County: 11 inches at Lynbrook, to 15.6 inches at Oceanside.

Suffolk County: 2.7 inches at Bridgehampton, to 12 inches at Huntington Station, East Northport, and North Lindenhurst.",8,,,
5167879,NORTHEAST SUFFOLK (ZONE), ,12/30/2000,955,Winter Storm, , ,0,0,0,0,NY,EST, ,1105306,Z,79,OKX,0,0,OFFICIAL NWS OBS., , , , , , , , ,12/30/2000,955, , , , ,,"A low pressure system rapidly intensified and moved north along the mid Atlantic coast during Saturday December 30th. This produced a wide swath of heavy snow to the northwest of the storm track. Snowfall began between 5 and 7 AM across the area, and fell at intense rates right from the start. Snowfall rates of one to two inches per hour were common. There were also numerous reports of thunder and lightning accompanying the most intense snow bands. Winds also began to increase later Saturday morning, causing some blowing and drifting of snow, which reduced visibilities significantly, and created near blizzard conditions at times in some areas. 

As the low pressure center approached the south shore of Suffolk county early Saturday afternoon, milder air from the Atlantic Ocean wrapped into the storm system, and changed the heavy snow to a mixture of sleet and rain across eastern Suffolk county. This limited snowfall amounts somewhat across eastern Suffolk County.

The low pressure center crossed central Suffolk County during mid afternoon on Saturday, before moving northeast into southern New England later that evening. As the low moved away, the precipitation tapered off across the area. Subfreezing temperatures and gusty winds lingered behind the storm system.

Here are some specific snowfall totals from this storm system:

Orange County: 14 inches at Harriman, to 21 inches at Warwick and Rock Tavern.

Putnam County: 13 inches at Carmel and Brewster.

Rockland County: 15 inches at Airmont, to 18 inches at Suffern.

Westchester County: 13 inches at Mount Kisco, to 16.5 inches at Mamaroneck.

Bronx County: 11 inches.

New York County (Manhattan): 12 inches at Central Park.

Kings County: 12.7 inches at Gravesend.

Queens County: 10 inches at John F. Kennedy International Airport, to 13 inches at LaGuardia Airport and Middle Village.

Richmond County: 12.5 inches at Grymes Hill.

Nassau County: 11 inches at Lynbrook, to 15.6 inches at Oceanside.

Suffolk County: 2.7 inches at Bridgehampton, to 12 inches at Huntington Station, East Northport, and North Lindenhurst.",9,,,
5228766,NORTHWEST SUFFOLK (ZONE), ,01/20/2001,2130,Winter Storm, , ,0,0,0,0,NY,EST, ,1110093,Z,78,OKX,0,0,TRAINED SPOTTER, , , , , , , , ,01/20/2001,2130, , , , ,,"A low pressure system developed off the mid Atlantic coast Saturday afternoon and moved northeast, passing east of Long Island early Sunday.  With abundant low level moisture and cold air in place, light intermittent precipitation occurred Saturday.  As the low intensified, heavy precipitation developed and moved northeast across the area. 

Heavy snow occurred across Orange, Putnam, Rockland, and northern Westchester counties. 

In the New York City area, southern Westchester County, and across Nassau County, a period of sleet and freezing rain occurred Saturday night, producing ice accumulations of up to 0.20 inches.  This buildup of ice on major highways and bridges produced hazardous travel conditions Saturday night, and contributed to an airplane skidding off the runway at JFK Airport Sunday morning. The sleet and freezing rain changed to heavy snow early Sunday morning. 
 
Across Suffolk County, a significant period of sleet and freezing rain occurred Saturday night, before changing to heavy snow early Sunday morning.  Ice accumulations ranged from 0.25 to 0.50 inches.  This accretion of ice on tree limbs caused some tree branches to fall, and led to power outages. 

Here are some specific snowfall and ice amounts for:

Orange County:  from 5 inches at Newburgh to 7 inches measured at Chester.

Putnam County:  8.1 inches measured at Fahnestock State Park.

Rockland County:  6 inches measured at Pomona.

Westchester County:  from 5 inches at Yorktown Heights to 7.3 inches measured at White Plains.

New York City: 

Manhattan - up to 0.10 inches of ice followed by 6 inches of snow at Central Park.
Brooklyn - up to 0.10 inches of ice followed by 7 inches of snow.
Queens - 0.11 inches of ice followed by 6 inches of snow at John F. Kennedy International Airport.

Nassau County:  0.20 inches of ice followed by 7 inches of snow at Bayville.

Suffolk County:

Upton National Weather Service Office:  0.43 inches of ice followed by 6 inches of snow.
Islip McArthur Airport:  0.33 inches of ice followed by 4 inches of snow.",10,,,
